-いで,0,0,1,名詞,一般,*,*,*,*,-いで,-いで,-いで,4
-う,0,0,1,名詞,一般,*,*,*,*,-う,-う,-う,0
-え,0,0,1,名詞,一般,*,*,*,*,-え,-え,-え,0
-える,0,0,1,名詞,一般,*,*,*,*,得る,-える,-える,4
-おす,0,0,1,名詞,一般,*,*,*,*,-おす,-おす,-おす,4
-おます,0,0,1,名詞,一般,*,*,*,*,-おます,-おます,-おます,2
-かねる,0,0,1,名詞,一般,*,*,*,*,兼ねる,-かねる,-かねる,6
-から,0,0,1,名詞,一般,*,*,*,*,-から,-から,-から,1
-が,0,0,1,名詞,一般,*,*,*,*,-が,-が,-が,0
-がた,0,0,1,名詞,一般,*,*,*,*,方,-がた,-がた,4
-がたい,0,0,1,名詞,一般,*,*,*,*,難い,-がたい,-がたい,2
-がち,0,0,1,名詞,一般,*,*,*,*,勝ち,-がち,-がち,4
-くらい,0,0,1,名詞,一般,*,*,*,*,-くらい,-くらい,-くらい,2
-けつかる,0,0,1,名詞,一般,*,*,*,*,-けつかる,-けつかる,-けつかる,8
-けど,0,0,1,名詞,一般,*,*,*,*,-けど,-けど,-けど,1
-こます,0,0,1,名詞,一般,*,*,*,*,-こます,-こます,-こます,2
-さかいに,0,0,1,名詞,一般,*,*,*,*,-さかいに,-さかいに,-さかいに,3
-させる,0,0,1,名詞,一般,*,*,*,*,-させる,-させる,-させる,6
-さらす,0,0,1,名詞,一般,*,*,*,*,-さらす,-さらす,-さらす,2
-し,0,0,1,名詞,一般,*,*,*,*,-し,-し,-し,0
-しめる,0,0,1,名詞,一般,*,*,*,*,-しめる,-しめる,-しめる,6
-ず,0,0,1,名詞,一般,*,*,*,*,-ず,-ず,-ず,0
-せる,0,0,1,名詞,一般,*,*,*,*,-せる,-せる,-せる,4
-そう,0,0,1,名詞,一般,*,*,*,*,-そう,-そう,-そう,1
-そこなう,0,0,1,名詞,一般,*,*,*,*,損なう,-そこなう,-そこなう,8
-たい,0,0,1,名詞,一般,*,*,*,*,-たい,-たい,-たい,1
-たがる,0,0,1,名詞,一般,*,*,*,*,-たがる,-たがる,-たがる,6
-っちゅう,0,0,1,名詞,一般,*,*,*,*,-っちゅう,-っちゅう,-っちゅう,2
-づらい,0,0,1,名詞,一般,*,*,*,*,辛い,-づらい,-づらい,2
-てらんと,0,0,1,名詞,一般,*,*,*,*,-てらんと,-てらんと,-てらんと,8
-てる,0,0,1,名詞,一般,*,*,*,*,-てる,-てる,-てる,4
-てん,0,0,1,名詞,一般,*,*,*,*,-てん,-てん,-てん,1
-でっせ,0,0,1,名詞,一般,*,*,*,*,-でっせ,-でっせ,-でっせ,2
-ども,0,0,1,名詞,一般,*,*,*,*,共,-ども,-ども,4
-な,0,0,1,名詞,一般,*,*,*,*,-な,-な,-な,0
-ないな,0,0,1,名詞,一般,*,*,*,*,-ないな,-ないな,-ないな,2
-なさる,0,0,1,名詞,一般,*,*,*,*,-なさる,-なさる,-なさる,2
